"source";"target";"year_of_publication";"Erscheinungsort"
"02-0741";"02-0775";1571;"Jena"
"02-0691";"02-0775";1570;"Jena"
"02-0716";"02-0784";1557;"Jena"
"02-0802";"02-0784";1558;"Jena"
"02-0654";"02-0784";1558;"Jena"
"02-0716";"02-0784";1558;"Jena"
"02-0654";"02-0784";1558;"Jena"
"02-0716";"02-0784";1558;"Jena"
"02-0722";"02-0800";1562;"Jena"
"02-0752";"02-0800";1559;"Jena"
"02-0752";"02-0800";1559;"Jena"
"02-0802";"02-0800";1561;"Jena"
"02-0741";"02-0800";1571;"Jena"
"02-0716";"02-0808";1559;"Jena"
"02-0691";"02-0810";1570;"Jena"
"02-0654";"02-0810";1558;"Jena"
"02-0716";"02-0810";1558;"Jena"
"02-0850";"02-0810";1558;"Jena"
"02-0654";"02-0810";1554;"Jena"
"02-1029";"02-0810";1557;"Jena"
"02-0716";"02-0811";1554;"Jena"
"02-0816";"02-0838";1556;"Jena"
"02-0752";"02-0838";1559;"Jena"
"02-0752";"02-0838";1559;"Jena"
"02-0716";"02-0838";1559;"Jena"
"02-0802";"02-0838";1561;"Jena"
"02-0752";"02-0847";1559;"Jena"
"02-0752";"02-0847";1559;"Jena"
"02-0716";"02-0851";1562;"Jena"
"02-0752";"02-0890";1559;"Jena"
"02-0752";"02-0890";1559;"Jena"
"02-0716";"02-0935";1559;"Jena"
"02-0741";"02-0090";1564;"s.l."
"02-0847";"02-0168";1551;"s.l."
"02-0755";"02-0654";1563;"s.l."
"02-0879";"02-0654";1563;"s.l."
"02-0716";"02-0655";1575;"s.l."
"02-0384";"02-0655";1565;"s.l."
"02-0716";"02-0655";1576;"s.l."
"02-0845";"02-0655";1578;"s.l."
"02-0749";"02-0658";1580;"s.l."
"02-0856";"02-0665";1552;"s.l."
"02-0680";"02-0666";1577;"s.l."
"02-0384";"02-0673";1565;"s.l."
"02-0833";"02-0693";1568;"s.l."
"02-0102";"02-0693";1568;"s.l."
"02-0833";"02-0696";1568;"s.l."
"02-0102";"02-0696";1568;"s.l."
"02-0647";"02-0706";1558;"s.l."
"02-0854";"02-0714";1569;"s.l."
"02-0662";"02-0716";1557;"s.l."
"02-0791";"02-0733";1562;"s.l."
"02-0737";"02-0741";1570;"s.l."
"02-0807";"02-0741";1577;"s.l."
"02-0716";"02-0775";1557;"s.l."
"02-0722";"02-0775";1568;"s.l."
"02-0716";"02-0775";1568;"s.l."
"02-0802";"02-0784";1558;"s.l."
"02-0716";"02-0784";1557;"s.l."
"02-0845";"02-0785";1579;"s.l."
"02-0845";"02-0785";1575;"s.l."
"02-0833";"02-0786";1568;"s.l."
"02-0102";"02-0786";1568;"s.l."
"02-0647";"02-0791";1557;"s.l."
"02-0741";"02-0798";1564;"s.l."
"02-0789";"02-0800";1552;"s.l."
"02-0751";"02-0800";1556;"s.l."
"02-0667";"02-0800";1552;"s.l."
"02-0845";"02-0807";1579;"s.l."
"02-0833";"02-0808";1568;"s.l."
"02-0102";"02-0808";1568;"s.l."
"02-0833";"02-0809";1568;"s.l."
"02-0102";"02-0809";1568;"s.l."
"02-0741";"02-0819";1564;"s.l."
"02-0707";"02-0830";1565;"s.l."
"02-0845";"02-0832";1579;"s.l."
"02-0662";"02-0838";1557;"s.l."
