"m.id","n.id"
"02-0841","01-0478"
"02-0879","01-0479"
"02-0557","01-0480"
"02-0782","01-0482"
"02-0655","01-0483"
"02-0686","01-0484"
"02-0111","01-0485"
"02-0879","01-0486"
"02-0841","01-0487"
"02-0841","01-0488"
"02-0789","01-0489"
"02-0879","01-0490"
"02-0716","01-0491"
"02-0673","01-0493"
"02-0755","01-0494"
"02-0879","01-0495"
"02-0706","01-0496"
"02-0716","01-0499"
"02-0701","01-0500"
"02-0654","01-0502"
"02-0716","01-0503"
"02-0722","01-0503"
"02-0710","01-0504"
"02-0716","01-0505"
"02-0862","01-0506"
"02-0798","01-0506"
"02-0780","01-0508"
"02-0015","01-0510"
"02-0716","01-0513"
"02-0871","01-0514"
"02-0820","01-0515"
"02-0687","01-0516"
"02-0852","01-0516"
"02-0652","01-0516"
"02-0758","01-0517"
"02-0862","01-0518"
"02-0770","01-0519"
"02-0845","01-0520"
"02-0706","01-0521"
"02-0673","01-0522"
"02-0655","01-0523"
"02-0747","01-0524"
"02-0673","01-0525"
"02-0873","01-0526"
"02-0654","01-0527"
"02-0741","01-0528"
"02-0845","01-0529"
"02-0655","01-0531"
"02-0845","01-0532"
"02-0879","01-0533"
"02-0654","01-0534"
"02-1029","01-0536"
"02-0789","01-0537"
"02-0777","01-0538"
"02-0841","01-0539"
"02-0673","01-0540"
"02-0673","01-0541"
"02-0880","01-0542"
"02-0711","01-0543"
"02-0845","01-0544"
"02-0782","01-0545"
"02-0777","01-0547"
"02-0791","01-0548"
"02-0749","01-0549"
"02-0848","01-0550"
"02-0685","01-0551"
"02-0685","01-0552"
"02-0789","01-0553"
"02-0741","01-0554"
"02-0789","01-0555"
"02-0741","01-0557"
"02-0933","01-0558"
"02-0673","01-0558"
"02-0722","01-0559"
"02-0802","01-0560"
"02-0685","01-0561"
"02-0716","01-0562"
"02-0685","01-0563"
"02-0838","01-0564"
"02-0838","01-0565"
"02-0722","01-0566"
"02-0654","01-0567"
"02-0655","01-0568"
"02-0722","01-0569"
"02-0838","01-0570"
"02-0838","01-0571"
"02-0838","01-0572"
"02-0879","01-0574"
"02-0782","01-0574"
"02-0678","01-0575"
"02-1029","01-0576"
"02-0841","01-0577"
"02-0775","01-0579"
"02-0655","01-0580"
"02-0654","01-0581"
"02-0782","01-0582"
"02-0858","01-0583"
"02-0845","01-0584"
"02-0845","01-0585"
"02-0838","01-0587"
"02-0820","01-0588"
"02-1029","01-0588"
"02-0845","01-0589"
"02-0841","01-0590"
"02-0741","01-0591"
"02-0755","01-0592"
"02-0873","01-0594"
"02-0716","01-0595"
